word,definition
abolish,to do away with
absurd,inconsistent with reason or logic or common sense
abuse,cruel or inhumane treatment
accomplish,to put in effect or gain with effort
accurate,matching exactly or almost exactly to something
achievement,"something done successfully, typically by effort, courage, or skill"
aggressive,ready or likely to attack or confront
alternate,occur in turn repeatedly
altitude,the height of an object or point in relation to sea level or ground level
announce,"make a public and typically formal declaration about a fact, occurrence, or intention"
antagonist,a person who actively opposes or is hostile to someone or something; an adversary
antonym,a word opposite in meaning to another
anxious,"experiencing worry, unease, or nervousness, typically about an imminent event or something with an uncertain outcome"
apparent,clearly visible or understood; obvious
approach,a way of dealing with something
approval,the action of officially agreeing to something or accepting something as satisfactory
approximate,"close to the actual, but not completely accurate or exact."
argument,an exchange of diverging or opposite views
aroma,"a distinctive, typically pleasant smell"
assume,"suppose to be the case, without proof"
astound,shock or greatly surprise.
available,able to be used or obtained
avalanche,a sudden arrival or occurrence of something in overwhelming quantities
avoid,keep away from or stop oneself from doing (something)
banquet,an elaborate and formal evening meal for many people
beverage,"a drink, especially one other than water"
bland,lacking strong features or characteristics and therefore uninteresting
blizzard,a severe snowstorm or an overabundance of something
briskly,"in an active, quick, or energetic way"
budge,make or cause to make the slightest movement
bungle,"carry out (a task) clumsily or incompetently, leading to failure or an unsatisfactory outcome"
cautiously,in a way that deliberately avoids potential problems or dangers
cease,bring or come to an end
challenge,a task or situation that tests someone’s abilities
character,the mental and moral qualities distinctive to an individual
claim,state or assert that something is the case
combine,unite; merge
companion,a person or animal with whom one spends a lot of time
compassion,sympathetic pity and concern for the sufferings or misfortunes of others
compensate,to pay (someone) for work performed or a loss incurred
comply,act in accordance with a wish or command
conclude,arrive at a judgment or opinion by reasoning
confident,feeling or showing certainty about something
conflict,a serious disagreement or argument
consistent,acting or done in the same way over time
context,"the circumstances that form the setting for an event, statement, or idea"
convert,"cause to change in form, character, or function"
convince,cause (someone) to believe firmly in the truth of something
course,"the route or direction followed by a ship, aircraft, road, or river"
courteous,"polite, respectful, or considerate in manner"
crave,feel a powerful desire for (something)
culture,the attitudes and behavior characteristic of a particular social group
debate,"argue about (a subject), especially in a formal manner"
decade,a period of ten years
decline,"become smaller, fewer, or less; decrease"
dedicate,"devote (time, effort, or oneself) to a particular task or purpose"
deprive,deny (a person or place) the possession or use of something
detect,discover or identify the presence or existence of
dictate,lay down authoritatively; prescribe
dissatisfied,not content or happy with something
document,"record (something) in written, photographic, or other form"
dominate,ave a commanding influence on; exercise control over
drowsy,sleepy and lethargic; half asleep.
duplicate,one of two or more identical things
edible,fit to be eaten
effortless,requiring no physical or mental exertion
endanger,put (someone or something) at risk or in danger
escalate,become or cause to become more intense or serious
evade,"escape or avoid, especially by cleverness or trickery"
exasperate,irritate intensely; infuriate
excavate,make (a hole or channel) by digging
exert,"apply or bring to bear (a force, influence, or quality)"
exhibit,manifest or deliberately display (a quality or a type of behavior)
exult,how or feel elation or jubilation
feeble,"lacking physical strength, especially as a result of age or illness"
frigid,very cold in temperature
gigantic,of very great size or extent; huge or enormous
glare,stare in an angry or fierce way
guardian,"a defender, protector, or keeper"
harsh,unpleasantly rough or jarring to the senses
hazy,"vague, indistinct, or ill-defined"
hearty,(of a person or their behavior) loudly vigorous and cheerful
heroic,grand or grandiose in scale or intention
hesitate,"pause before saying or doing something, especially through uncertainty"
historic,"famous or important in history, or potentially so"
homonym,each of two or more words having the same spelling but different meanings and origins
horizontal,parallel to the plane of the horizon; at right angles to the vertical
huddle,crowd together; nestle closely
identical,similar in every detail; exactly alike
identify,establish or indicate who or what (someone or something) is
illegible,not clear enough to be read
illuminate,to light up or help to clarify or explain
immigrate,come to live permanently in a foreign country
impressive,"evoking admiration through size, quality, or skill: grand, imposing, or awesome"
independent,free from outside control; not depending on another’s authority
intense,"of extreme force, degree, or strength"
intercept,block (someone or something) so as to prevent them from continuing to a destination
investigate,make a check to find out something
jubilation,a feeling of great happiness and triumph
kin,one’s family and relations
luxurious,"extremely comfortable, elegant, or enjoyable, especially in a way that involves great expense"
major,"important, serious, or significant"
miniature,of a much smaller size than normal; very small
minor,"lesser in importance, seriousness, or significance"
mischief,"playful misbehavior or troublemaking, especially in children"
monarch,"a sovereign head of state, especially a king, queen, or emperor"
moral,concerned with the principles of right and wrong behavior and the goodness or badness of human character
myth,a widely held but false belief or idea
narrator,"a person who delivers a commentary accompanying a movie, broadcast, piece of music, etc"
navigate,"plan and direct the route or course of a ship, aircraft, or other form of transportation, especially by using instruments or maps"
negative,"(of a person, attitude, or situation) not desirable or optimistic"
nonchalant,"(of a person or manner) feeling or appearing casually calm and relaxed; not displaying anxiety, interest, or enthusiasm"
numerous,great in number; many
oasis,"a pleasant or peaceful area or period in the midst of a difficult, troubled, or hectic place or situation"
occasion,"a special or noteworthy event, ceremony, or celebration"
opposed,disapproving of or disagreeing with
ordinary,with no special or distinctive features; normal
overthrow,remove forcibly from power
pardon,"forgive or excuse (a person, error, or offense)"
passage,the process of transition from one state to another
pasture,land covered with grass and other low plants suitable for grazing animals
pedestrian,a person walking along a road or in a developed area
petrify,make (someone) so frightened that they are unable to move or think
portable,able to be easily carried or moved
prefix,"a word, letter, or number placed before another"
preserve,maintain (something) in its original or existing state
primary,of chief importance; principal
protagonist,"the leading character or one of the major characters in a drama, movie, novel, or other fictional text"
provide,make available for use; supply
purchase,acquire (something) by paying for it; buy
reassure,ay or do something to remove the doubts and fears of someone
recently,not long ago
reference,the action of mentioning something
reign,be the best or most important in a particular area or domain
reliable,consistently good in quality or performance; able to be trusted
require,need for a particular purpose
resemble,"have qualities or features, especially those of appearance, in common with (someone or something); look or seem like"
retain,continue to have (something); keep possession of
retire,withdraw to or from a particular place
revert,"return to (a previous state, practice, topic, etc.)"
review,examine (something) formally
revolt,rise up against as in a rebellion
route,send or direct along a specified course
saunter,"walk in a slow, relaxed manner, without hurry or effort"
scarce,occurring in small numbers or quantities; rare
seldom,not often; rarely
senseless,(especially of violent or wasteful action) without meaning or purpose
sever,put an end to (a connection or relationship); break off
slither,move smoothly over a surface with a twisting motion
sluggish,slow-moving or inactive
soar,fly or rise high in the air
solitary,done or existing alone
sparse,thinly dispersed or scattered
spurt,gush out in a sudden and forceful stream
suffocate,die or cause to die from lack of air or inability to breathe
summarize,give a brief statement of the main points of (something)
summit,the highest point of a hill or mountain
suspend,temporarily prevent from continuing or being in force or effect
taunt,provoke or challenge (someone) with insulting remarks
tension,mental or emotional strain
thrifty,(of a person or their behavior) using money and other resources carefully and not wastefully
tolerate,"allow the existence, occurrence, or practice of (something that one does not necessarily like or agree with) without interference"
translate,convert or be converted into (another form or medium
tremble,"shake involuntarily, typically as a result of anxiety, excitement, or frailty"
tropical,"resembling the tropics, especially in being very hot and humid"
vertical,"in a direction, or having an alignment, such that the top is directly above the bottom"
visible,able to be seen
visual,"a picture, piece of film, or display used to illustrate or accompany something"
vivid,"producing powerful feelings or strong, clear images in the mind"
wilderness,"an uncultivated, uninhabited, and inhospitable region"
withdraw,remove or take away (something) from a particular place or position
abet,"encourage or assist (someone) to do something wrong, in particular, to commit a crime or other offense"
accord,"give or grant someone (power, status, or recognition)"
adept,very skilled or proficient at something
advocate,publicly recommend or support
agile,able to move quickly and easily
allot,give or apportion (something) to someone as a share or task
aloof,not friendly or forthcoming; cool and distant
analogy,"a comparison between two things, typically for the purpose of explanation or clarification"
antics,"foolish, outrageous, or amusing behavior"
ardent,enthusiastic or passionate
articulate,(of a person or a person’s words) having or showing the ability to speak fluently and coherently
assail,make a concerted or violent attack on
atrocity,an extremely wicked or cruel act
augment,make (something) greater by adding to it; increase
avail,use or take advantage of (an opportunity or available resource)
awry,"away from the appropriate, planned, or expected course"
balmy,(of the weather) pleasantly warm
banter,the playful and friendly exchange of teasing remarks
barter,exchange (goods or services) for other goods or services without using money
benign,gentle; kindly
blasé,unimpressed or indifferent to something because one has experienced or seen it so often before
bonanza,"a situation or event that creates a sudden increase in wealth, good fortune, or profits"
bountiful,large in quantity; abundant
cache,a collection of items of the same type stored in a hidden or inaccessible place
capacious,having a lot of space inside; roomy
caption,"a title or brief explanation appended to an article, illustration, cartoon, or poster"
chastise,rebuke or reprimand severely.
chronic,persisting for a long time or constantly recurring
congruent,in agreement or harmony
consequence,a result or effect of an action or condition
continuous,forming an unbroken whole; without interruption
contribute,"give (something, especially money) in order to help achieve or provide something"
declare,formally announce the beginning of (a state or condition)
dimension,"an aspect or feature of a situation, problem, or thing"
drastic,likely to have a strong or far-reaching effect; radical and extreme
elaborate,involving many carefully arranged parts or details; detailed and complicated in design and planning
encourage,"give support, confidence, or hope to (someone)"
equation,a situation or problem in which several factors must be taken into account
exaggerate,"represent (something) as being larger, greater, better, or worse than it really is"
exhaust,drain (someone) of their physical or mental resources; tire out
expression,the process of making known one’s thoughts or feelings
extend,cause to cover a larger area; make longer or wider
extensive,large in amount or scale
extract,"remove or take out, especially by effort or force"
factor,"a circumstance, fact, or influence that contributes to a result or outcome"
ferocious,"savagely fierce, cruel, or violent"
former,of or occurring in the past or an earlier period
formulate,create or devise methodically (a strategy or a proposal)
frequency,the rate at which something occurs or is repeated over a particular period of time or in a given sample
frequent,"occurring or done on many occasions, in many cases, or in quick succession"
fuse,join or blend to form a single entity
futile,incapable of producing any useful result; pointless
generate,"cause (something, especially an emotion or situation) to arise or come about"
genre,"a category of artistic composition, as in music or literature, characterized by similarities in form, style, or subject matter"
genuine,truly what something is said to be; authentic
habitat,"the natural home or environment of an animal, plant, or other organism"
hazardous,risky; dangerous
hoax,a humorous or harmful deception
hostile,unfriendly; antagonistic
hypothesis,proposed explanation made on the basis of limited evidence as a starting point for further investigation
idiom,"a form of expression natural to a language, person, or group of people"
ignite,arouse or inflame (an emotion or situation)
immense,"extremely large or great, especially in scale or degree"
improvise,"create and perform (music, drama, or verse) spontaneously or without preparation"
inept,having or showing no skill; clumsy
influence,"to have an effect on the character, development, or behavior of someone or something"
ingenious,"(of a person) clever, original, and inventive"
innovation,"a new method, idea, product, etc."
insist,"demand something forcefully, not accepting refusal"
irrigate,supply water to (land or crops) to help growth
jovial,cheerful and friendly
knack,an acquired or natural skill at performing a task
legislation,"laws, considered as a group"
leisure,free time
liberate,"set (someone) free from a situation, especially imprisonment or slavery"
likeness,the fact or quality of being alike; resemblance
linger,stay in a place longer than necessary
literal,free from exaggeration or distortion
loathe,feel intense dislike or disgust for
lofty,of a noble or exalted nature
lure,tempt (a person or an animal) to do something or to go somewhere
majority,the greater number
makeshift,serving as a temporary substitute
manipulate,"control or influence (a person or situation) cleverly, unfairly, or dishonestly"
marvel,be filled with wonder or astonishment
massive,large and heavy or solid
maximum,"as great, high, or intense as possible or permitted"
meager,(of something provided or available) lacking in quantity or quality
mere,the smallest or slightest
migration,movement from one part of something to another
mimic,imitate (someone or their actions or words)
minute,extremely small
monotonous,"dull, tedious, and repetitious"
negotiate,obtain or bring about by discussion
obedient,complying or willing to comply with orders or requests
objective,(of a person or their judgment) not influenced by personal feelings or opinions in considering and representing facts
oblivious,not aware of or not concerned about what is happening around one
obstacle,a thing that blocks one’s way or prevents or hinders progress
omniscient,knowing everything
onset,the beginning of something
optimist,a person who tends to be hopeful and confident about the future or the success of something
origin,"the point or place where something begins, arises, or is derived"
originate,create or initiate (something)
painstaking,done with or employing great care and thoroughness
paraphrase,"express the meaning of (the writer or speaker or something written or spoken) using different words, especially to achieve greater clarity"
parody,"an imitation of the style of a particular writer, artist, or genre with deliberate exaggeration for comic effect"
peculiar,strange or odd; unusual
persecute,"subject (someone) to hostility and ill-treatment, especially because of their race or political or religious beliefs"
persuade,cause (someone) to do something through reasoning or argument
plummet,fall or drop straight down at high speed
possess,have as belonging to one; own
poverty,the state of being extremely poor
predicament,"a difficult, unpleasant, or embarrassing situation"
predict,say or estimate that (a specified thing) will happen in the future or will be a consequence of something
prejudice,preconceived opinion that is not based on reason or actual experience
preliminary,denoting an action or event preceding or done in preparation for something fuller or more important
primitive,"having a quality or style that offers an extremely basic level of comfort, convenience, or efficiency"
priority,the fact or condition of being regarded or treated as more important
propel,"drive, push, or cause to move in a particular direction, typically forward"
prosecute,institute legal proceedings against (a person or organization)
prosper,succeed in material terms; be financially successful
provoke,"stimulate or give rise to (a reaction or emotion, typically a strong or unwelcome one) in someone"
pursue,follow (someone or something) in order to catch or attack them
quest,a long or arduous search for something
realistic,having or showing a sensible and practical idea of what can be achieved or expected
recount,tell someone about something
refuge,"a condition of being safe or sheltered from pursuit, danger, or trouble"
reinforce,strengthen or support (an object or substance)
reluctant,unwilling and hesitant; disinclined
remorse,deep regret or guilt for a wrong committed
remote,(of a place) situated far from the main centers of population; distant
repetition,the action of repeating something that has already been done
resolute,"admirably purposeful, determined, and unwavering"
restrain,prevent (someone or something) from doing something
retaliate,make an attack or assault in return for a similar attack
retrieve,get or bring (something) back
rigorous,"extremely thorough, exhaustive, or accurate"
rural,"in, relating to, or characteristic of the countryside rather than the town"
salvage,retrieve or preserve (something) from potential loss or adverse circumstances
sanctuary,a place of refuge or safety
siege,"a military operation in which enemy forces surround a town or building, cutting off essential supplies"
solar,relating to or determined by the sun
solution,a means of solving a problem or dealing with a difficult situation
soothe,gently calm (a person or their feelings)
stationary,not moving or not intended to be moved
stifle,prevent or constrain (an activity or idea)
strategy,a plan of action or policy designed to achieve a major or overall aim
strive,make great efforts to achieve or obtain something
